Date,Commodity,State,Price,Volume,price_lag_7,price_lag_14,price_lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,month,quarter,year,is_harvest_season,is_festival_season
2025-12-16,Gram,Delhi,6664.4,5481,6664.4,6664.4,6664.4,6833.879999999999,6833.879999999999,239.6809145509925,12,4,2025,1,0
2025-12-17,Gram,Delhi,7003.36,5230,6664.4,6664.4,6664.4,6833.879999999999,6833.879999999999,239.6809145509925,12,4,2025,1,0
2025-12-18,Gram,Delhi,6207.18,3978,6664.4,6664.4,6664.4,6624.98,6624.98,399.5511236375135,12,4,2025,1,0
2025-12-19,Gram,Delhi,6968.3,4277,6664.4,6664.4,6664.4,6710.8099999999995,6710.8099999999995,368.6387877945924,12,4,2025,1,0
2025-12-20,Gram,Delhi,6726.22,4685,6664.4,6664.4,6664.4,6713.892,6713.892,319.3249293744538,12,4,2025,1,0
2025-12-21,Gram,Delhi,6628.75,4173,6664.4,6664.4,6664.4,6699.701666666667,6699.701666666667,287.7202144039702,12,4,2025,1,0
2025-12-22,Gram,Delhi,7390.7,2851,6664.4,6664.4,6664.4,6798.415714285715,6798.415714285715,370.4011481199421,12,4,2025,1,0
2025-12-23,Gram,Delhi,6811.94,4879,6664.4,6664.4,6664.4,6819.492857142856,6800.10625,365.6717645062887,12,4,2025,1,0
2025-12-24,Gram,Delhi,6998.82,5180,7003.36,6664.4,6664.4,6818.844285714285,6822.185555555556,365.2951294436293,12,4,2025,1,0
2025-12-25,Gram,Delhi,6577.43,4393,6207.18,6664.4,6664.4,6871.737142857142,6797.710000000001,278.4502553248534,12,4,2025,1,0
2025-12-26,Gram,Delhi,6479.61,2368,6968.3,6664.4,6664.4,6801.924285714286,6768.791818181818,309.7121603929008,12,4,2025,1,0
2025-12-27,Gram,Delhi,6799.36,2158,6726.22,6664.4,6664.4,6812.372857142857,6771.339166666666,307.96129679524563,12,4,2025,1,0
2025-12-28,Gram,Delhi,6992.16,3959,6628.75,6664.4,6664.4,6864.288571428571,6788.325384615384,302.42914742842765,12,4,2025,1,0
2025-12-29,Gram,Delhi,6929.68,3875,7390.7,6664.4,6664.4,6798.428571428571,6798.422142857143,202.31353756225062,12,4,2025,1,0
2025-12-30,Gram,Delhi,6926.3,3617,6811.94,6664.4,6664.4,6814.765714285714,6806.947333333333,208.12049105082835,12,4,2025,1,0
2025-12-31,Gram,Delhi,6310.76,5223,6998.82,7003.36,6664.4,6716.471428571429,6775.935625,262.16987065822843,12,4,2025,1,0
2026-01-01,Gram,Delhi,7341.13,2341,6577.43,6207.18,6664.4,6825.571428571428,6809.182352941177,341.5514574422896,1,1,2026,1,0
2026-01-02,Gram,Delhi,6980.73,3922,6479.61,6968.3,6664.4,6897.160000000001,6818.712777777778,307.8026412600552,1,1,2026,1,0
2026-01-03,Gram,Delhi,6585.62,2918,6799.36,6726.22,6664.4,6866.625714285714,6806.444736842105,328.99359901864005,1,1,2026,1,0
2026-01-04,Gram,Delhi,7060.99,4166,6992.16,6628.75,6664.4,6876.458571428572,6819.1720000000005,334.3557367748987,1,1,2026,1,0
2026-01-05,Gram,Delhi,6441.94,3265,6929.68,7390.7,6664.4,6806.7814285714285,6801.208571428571,370.3043998041145,1,1,2026,1,0
2026-01-06,Gram,Delhi,6852.44,3361,6926.3,6811.94,6664.4,6796.2300000000005,6803.537272727273,367.37192298813443,1,1,2026,1,0
2026-01-07,Gram,Delhi,6808.53,4175,6310.76,6998.82,6664.4,6867.339999999999,6803.754347826087,299.67941849027005,1,1,2026,1,0
2026-01-08,Gram,Delhi,6833.69,4281,7341.13,6577.43,6664.4,6794.848571428572,6805.001666666667,215.52912838164613,1,1,2026,1,0
2026-01-09,Gram,Delhi,6992.93,2366,6980.73,6479.61,6664.4,6796.591428571429,6812.5188,217.32460939253707,1,1,2026,1,0
